year,ca,age_group,sex,diagnosis,number_of_deaths,crude_rate,easr,ca_name,hb_name
2011,S12000027,75plus years,Female,Stroke,0,0,913.47,Shetland Islands,NHS Shetland
2011,S12000027,75plus years,Female,Subarachnoid Haemorrhage,0,0,0,Shetland Islands,NHS Shetland
2011,S12000028,All,All,Cerebrovascular Disease,136,120.38,111.53,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,All,All,Stroke,75,66.38,64.06,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,All,All,Subarachnoid Haemorrhage,2,1.77,1.58,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,All,Male,Cerebrovascular Disease,51,94.76,114.01,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,All,Male,Stroke,29,53.88,67.87,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,All,Male,Subarachnoid Haemorrhage,1,1.86,1.47,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,All,Female,Cerebrovascular Disease,85,143.68,109.05,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,All,Female,Stroke,46,77.76,60.26,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,All,Female,Subarachnoid Haemorrhage,1,1.69,1.68,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,0-44 years,All,Cerebrovascular Disease,0,0,1.55,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,0-44 years,All,Stroke,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,0-44 years,All,Subarachnoid Haemorrhage,0,0,1.55,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,0-44 years,Male,Cerebrovascular Disease,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,0-44 years,Male,Stroke,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,0-44 years,Female,Cerebrovascular Disease,0,0,3.11,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,0-44 years,Female,Stroke,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,0-44 years,Female,Subarachnoid Haemorrhage,0,0,3.11,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,45-64 years,All,Cerebrovascular Disease,0,0,22.35,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,45-64 years,All,Stroke,0,0,16.96,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,45-64 years,All,Subarachnoid Haemorrhage,0,0,2.78,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,45-64 years,Male,Cerebrovascular Disease,0,0,22.25,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,45-64 years,Male,Stroke,0,0,16.68,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,45-64 years,Male,Subarachnoid Haemorrhage,0,0,5.56,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,45-64 years,Female,Cerebrovascular Disease,0,0,22.45,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,45-64 years,Female,Stroke,0,0,17.23,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,45-64 years,Female,Subarachnoid Haemorrhage,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,65-74 years,All,Cerebrovascular Disease,0,0,80.18,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,65-74 years,All,Stroke,0,0,63.87,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,65-74 years,All,Subarachnoid Haemorrhage,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,65-74 years,Male,Cerebrovascular Disease,0,0,100.01,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,65-74 years,Male,Stroke,0,0,67.39,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,65-74 years,Female,Cerebrovascular Disease,0,0,60.35,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,65-74 years,Female,Stroke,0,0,60.35,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,under75 years,All,Cerebrovascular Disease,0,0,16.68,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,under75 years,All,Stroke,0,0,12.31,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,under75 years,All,Subarachnoid Haemorrhage,0,0,1.73,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,under75 years,Male,Cerebrovascular Disease,0,0,18.02,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,under75 years,Male,Stroke,0,0,12.63,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,under75 years,Male,Subarachnoid Haemorrhage,0,0,1.62,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,under75 years,Female,Cerebrovascular Disease,0,0,15.35,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,under75 years,Female,Stroke,0,0,11.98,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,under75 years,Female,Subarachnoid Haemorrhage,0,0,1.84,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,75plus years,All,Cerebrovascular Disease,0,0,1070.53,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,75plus years,All,Stroke,0,0,587.38,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,75plus years,All,Subarachnoid Haemorrhage,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,75plus years,Male,Cerebrovascular Disease,0,0,1084.59,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,75plus years,Male,Stroke,0,0,626.41,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,75plus years,Female,Cerebrovascular Disease,0,0,1056.48,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,75plus years,Female,Stroke,0,0,548.36,South Ayrshire,NHS Ayrshire and Arran
2011,S12000028,75plus years,Female,Subarachnoid Haemorrhage,0,0,0,South Ayrshire,NHS Ayrshire and Arran
2011,S12000029,All,All,Cerebrovascular Disease,292,93.02,110.96,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,All,Cerebrovascular Disease,292,93.02,110.96,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,All,Stroke,164,52.25,61.3,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,All,Stroke,164,52.25,61.3,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,All,Subarachnoid Haemorrhage,10,3.19,3.31,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,All,Subarachnoid Haemorrhage,10,3.19,3.31,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Male,Cerebrovascular Disease,110,72.91,109.27,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Male,Cerebrovascular Disease,110,72.91,109.27,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Male,Stroke,63,41.76,60.12,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Male,Stroke,63,41.76,60.12,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Male,Subarachnoid Haemorrhage,4,2.65,2.95,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Male,Subarachnoid Haemorrhage,4,2.65,2.95,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Female,Cerebrovascular Disease,182,111.64,112.66,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Female,Cerebrovascular Disease,182,111.64,112.66,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Female,Stroke,101,61.95,62.49,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Female,Stroke,101,61.95,62.49,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Female,Subarachnoid Haemorrhage,6,3.68,3.66,South Lanarkshire,NHS Lanarkshire
2011,S12000029,All,Female,Subarachnoid Haemorrhage,6,3.68,3.66,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,All,Cerebrovascular Disease,0,0,3.37,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,All,Cerebrovascular Disease,0,0,3.37,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,All,Stroke,0,0,1.7,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,All,Stroke,0,0,1.7,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,All,Subarachnoid Haemorrhage,0,0,1.67,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,All,Subarachnoid Haemorrhage,0,0,1.67,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Male,Cerebrovascular Disease,0,0,3.24,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Male,Cerebrovascular Disease,0,0,3.24,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Male,Stroke,0,0,2.16,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Male,Stroke,0,0,2.16,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Male,Subarachnoid Haemorrhage,0,0,1.08,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Male,Subarachnoid Haemorrhage,0,0,1.08,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Female,Cerebrovascular Disease,0,0,3.51,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Female,Cerebrovascular Disease,0,0,3.51,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Female,Stroke,0,0,1.24,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Female,Stroke,0,0,1.24,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Female,Subarachnoid Haemorrhage,0,0,2.26,South Lanarkshire,NHS Lanarkshire
2011,S12000029,0-44 years,Female,Subarachnoid Haemorrhage,0,0,2.26,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,All,Cerebrovascular Disease,0,0,30.63,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,All,Cerebrovascular Disease,0,0,30.63,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,All,Stroke,0,0,22.46,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,All,Stroke,0,0,22.46,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,All,Subarachnoid Haemorrhage,0,0,1.2,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,All,Subarachnoid Haemorrhage,0,0,1.2,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Male,Cerebrovascular Disease,0,0,35.36,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Male,Cerebrovascular Disease,0,0,35.36,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Male,Stroke,0,0,23.48,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Male,Stroke,0,0,23.48,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Male,Subarachnoid Haemorrhage,0,0,2.39,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Male,Subarachnoid Haemorrhage,0,0,2.39,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Female,Cerebrovascular Disease,0,0,25.9,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Female,Cerebrovascular Disease,0,0,25.9,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Female,Stroke,0,0,21.44,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Female,Stroke,0,0,21.44,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Female,Subarachnoid Haemorrhage,0,0,0,South Lanarkshire,NHS Lanarkshire
2011,S12000029,45-64 years,Female,Subarachnoid Haemorrhage,0,0,0,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,All,Cerebrovascular Disease,0,0,146.37,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,All,Cerebrovascular Disease,0,0,146.37,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,All,Stroke,0,0,77.76,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,All,Stroke,0,0,77.76,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,All,Subarachnoid Haemorrhage,0,0,4,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,All,Subarachnoid Haemorrhage,0,0,4,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Male,Cerebrovascular Disease,0,0,170.35,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Male,Cerebrovascular Disease,0,0,170.35,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Male,Stroke,0,0,84.62,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Male,Stroke,0,0,84.62,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Male,Subarachnoid Haemorrhage,0,0,8,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Male,Subarachnoid Haemorrhage,0,0,8,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Female,Cerebrovascular Disease,0,0,122.39,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Female,Cerebrovascular Disease,0,0,122.39,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Female,Stroke,0,0,70.89,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Female,Stroke,0,0,70.89,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,South Lanarkshire,NHS Lanarkshire
2011,S12000029,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,All,Cerebrovascular Disease,0,0,27.81,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,All,Cerebrovascular Disease,0,0,27.81,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,All,Stroke,0,0,16.52,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,All,Stroke,0,0,16.52,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,All,Subarachnoid Haemorrhage,0,0,1.8,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,All,Subarachnoid Haemorrhage,0,0,1.8,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Male,Cerebrovascular Disease,0,0,31.88,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Male,Cerebrovascular Disease,0,0,31.88,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Male,Stroke,0,0,17.88,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Male,Stroke,0,0,17.88,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Male,Subarachnoid Haemorrhage,0,0,2.26,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Male,Subarachnoid Haemorrhage,0,0,2.26,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Female,Cerebrovascular Disease,0,0,23.74,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Female,Cerebrovascular Disease,0,0,23.74,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Female,Stroke,0,0,15.16,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Female,Stroke,0,0,15.16,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Female,Subarachnoid Haemorrhage,0,0,1.34,South Lanarkshire,NHS Lanarkshire
2011,S12000029,under75 years,Female,Subarachnoid Haemorrhage,0,0,1.34,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,All,Cerebrovascular Disease,0,0,951.75,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,All,Cerebrovascular Disease,0,0,951.75,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,All,Stroke,0,0,514.1,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,All,Stroke,0,0,514.1,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,All,Subarachnoid Haemorrhage,0,0,18.53,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,All,Subarachnoid Haemorrhage,0,0,18.53,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Male,Cerebrovascular Disease,0,0,891.83,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Male,Cerebrovascular Disease,0,0,891.83,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Male,Stroke,0,0,487.19,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Male,Stroke,0,0,487.19,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Male,Subarachnoid Haemorrhage,0,0,9.93,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Male,Subarachnoid Haemorrhage,0,0,9.93,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Female,Cerebrovascular Disease,0,0,1011.66,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Female,Cerebrovascular Disease,0,0,1011.66,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Female,Stroke,0,0,541.02,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Female,Stroke,0,0,541.02,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Female,Subarachnoid Haemorrhage,0,0,27.13,South Lanarkshire,NHS Lanarkshire
2011,S12000029,75plus years,Female,Subarachnoid Haemorrhage,0,0,27.13,South Lanarkshire,NHS Lanarkshire
2011,S12000030,All,All,Cerebrovascular Disease,73,80.81,82.95,Stirling,NHS Forth Valley
2011,S12000030,All,All,Stroke,38,42.07,41.29,Stirling,NHS Forth Valley
2011,S12000030,All,All,Subarachnoid Haemorrhage,1,1.11,0.92,Stirling,NHS Forth Valley
2011,S12000030,All,Male,Cerebrovascular Disease,12,27.72,39.89,Stirling,NHS Forth Valley
2011,S12000030,All,Male,Stroke,4,9.24,12.14,Stirling,NHS Forth Valley
2011,S12000030,All,Male,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,All,Female,Cerebrovascular Disease,61,129.69,126.01,Stirling,NHS Forth Valley
2011,S12000030,All,Female,Stroke,34,72.29,70.44,Stirling,NHS Forth Valley
2011,S12000030,All,Female,Subarachnoid Haemorrhage,1,2.13,1.85,Stirling,NHS Forth Valley
2011,S12000030,0-44 years,All,Cerebrovascular Disease,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,0-44 years,All,Stroke,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,0-44 years,All,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,0-44 years,Male,Cerebrovascular Disease,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,0-44 years,Male,Stroke,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,0-44 years,Female,Cerebrovascular Disease,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,0-44 years,Female,Stroke,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,45-64 years,All,Cerebrovascular Disease,0,0,3.55,Stirling,NHS Forth Valley
2011,S12000030,45-64 years,All,Stroke,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,45-64 years,All,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,45-64 years,Male,Cerebrovascular Disease,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,45-64 years,Male,Stroke,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,45-64 years,Male,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,45-64 years,Female,Cerebrovascular Disease,0,0,7.1,Stirling,NHS Forth Valley
2011,S12000030,45-64 years,Female,Stroke,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,45-64 years,Female,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,65-74 years,All,Cerebrovascular Disease,0,0,36.8,Stirling,NHS Forth Valley
2011,S12000030,65-74 years,All,Stroke,0,0,36.8,Stirling,NHS Forth Valley
2011,S12000030,65-74 years,All,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,65-74 years,Male,Cerebrovascular Disease,0,0,52.33,Stirling,NHS Forth Valley
2011,S12000030,65-74 years,Male,Stroke,0,0,52.33,Stirling,NHS Forth Valley
2011,S12000030,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,65-74 years,Female,Cerebrovascular Disease,0,0,21.28,Stirling,NHS Forth Valley
2011,S12000030,65-74 years,Female,Stroke,0,0,21.28,Stirling,NHS Forth Valley
2011,S12000030,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,under75 years,All,Cerebrovascular Disease,0,0,5.28,Stirling,NHS Forth Valley
2011,S12000030,under75 years,All,Stroke,0,0,4.25,Stirling,NHS Forth Valley
2011,S12000030,under75 years,All,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,under75 years,Male,Cerebrovascular Disease,0,0,6.04,Stirling,NHS Forth Valley
2011,S12000030,under75 years,Male,Stroke,0,0,6.04,Stirling,NHS Forth Valley
2011,S12000030,under75 years,Male,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,under75 years,Female,Cerebrovascular Disease,0,0,4.52,Stirling,NHS Forth Valley
2011,S12000030,under75 years,Female,Stroke,0,0,2.45,Stirling,NHS Forth Valley
2011,S12000030,under75 years,Female,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,75plus years,All,Cerebrovascular Disease,0,0,868.28,Stirling,NHS Forth Valley
2011,S12000030,75plus years,All,Stroke,0,0,415.83,Stirling,NHS Forth Valley
2011,S12000030,75plus years,All,Subarachnoid Haemorrhage,0,0,10.28,Stirling,NHS Forth Valley
2011,S12000030,75plus years,Male,Cerebrovascular Disease,0,0,382.14,Stirling,NHS Forth Valley
2011,S12000030,75plus years,Male,Stroke,0,0,73.79,Stirling,NHS Forth Valley
2011,S12000030,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,Stirling,NHS Forth Valley
2011,S12000030,75plus years,Female,Cerebrovascular Disease,0,0,1354.42,Stirling,NHS Forth Valley
2011,S12000030,75plus years,Female,Stroke,0,0,757.87,Stirling,NHS Forth Valley
2011,S12000030,75plus years,Female,Subarachnoid Haemorrhage,0,0,20.55,Stirling,NHS Forth Valley
2011,S12000033,All,All,Cerebrovascular Disease,168,75.52,97.36,Aberdeen City,NHS Grampian
2011,S12000033,All,All,Stroke,91,40.91,50.33,Aberdeen City,NHS Grampian
2011,S12000033,All,All,Subarachnoid Haemorrhage,9,4.05,4.59,Aberdeen City,NHS Grampian
2011,S12000033,All,Male,Cerebrovascular Disease,62,56.33,95.86,Aberdeen City,NHS Grampian
2011,S12000033,All,Male,Stroke,31,28.17,44.04,Aberdeen City,NHS Grampian
2011,S12000033,All,Male,Subarachnoid Haemorrhage,3,2.73,3.02,Aberdeen City,NHS Grampian
2011,S12000033,All,Female,Cerebrovascular Disease,106,94.31,98.87,Aberdeen City,NHS Grampian
2011,S12000033,All,Female,Stroke,60,53.38,56.63,Aberdeen City,NHS Grampian
2011,S12000033,All,Female,Subarachnoid Haemorrhage,6,5.34,6.16,Aberdeen City,NHS Grampian
2011,S12000033,0-44 years,All,Cerebrovascular Disease,0,0,3.3,Aberdeen City,NHS Grampian
2011,S12000033,0-44 years,All,Stroke,0,0,1.75,Aberdeen City,NHS Grampian
2011,S12000033,0-44 years,All,Subarachnoid Haemorrhage,0,0,1.55,Aberdeen City,NHS Grampian
2011,S12000033,0-44 years,Male,Cerebrovascular Disease,0,0,3.03,Aberdeen City,NHS Grampian
2011,S12000033,0-44 years,Male,Stroke,0,0,1.71,Aberdeen City,NHS Grampian
2011,S12000033,0-44 years,Male,Subarachnoid Haemorrhage,0,0,1.32,Aberdeen City,NHS Grampian
2011,S12000033,0-44 years,Female,Cerebrovascular Disease,0,0,3.57,Aberdeen City,NHS Grampian
2011,S12000033,0-44 years,Female,Stroke,0,0,1.79,Aberdeen City,NHS Grampian
2011,S12000033,0-44 years,Female,Subarachnoid Haemorrhage,0,0,1.79,Aberdeen City,NHS Grampian
2011,S12000033,45-64 years,All,Cerebrovascular Disease,0,0,18.5,Aberdeen City,NHS Grampian
2011,S12000033,45-64 years,All,Stroke,0,0,11,Aberdeen City,NHS Grampian
2011,S12000033,45-64 years,All,Subarachnoid Haemorrhage,0,0,3.69,Aberdeen City,NHS Grampian
2011,S12000033,45-64 years,Male,Cerebrovascular Disease,0,0,22.05,Aberdeen City,NHS Grampian
2011,S12000033,45-64 years,Male,Stroke,0,0,18.33,Aberdeen City,NHS Grampian
2011,S12000033,45-64 years,Male,Subarachnoid Haemorrhage,0,0,3.72,Aberdeen City,NHS Grampian
2011,S12000033,45-64 years,Female,Cerebrovascular Disease,0,0,14.96,Aberdeen City,NHS Grampian
2011,S12000033,45-64 years,Female,Stroke,0,0,3.67,Aberdeen City,NHS Grampian
2011,S12000033,45-64 years,Female,Subarachnoid Haemorrhage,0,0,3.67,Aberdeen City,NHS Grampian
2011,S12000033,65-74 years,All,Cerebrovascular Disease,0,0,159.93,Aberdeen City,NHS Grampian
2011,S12000033,65-74 years,All,Stroke,0,0,95.64,Aberdeen City,NHS Grampian
2011,S12000033,65-74 years,All,Subarachnoid Haemorrhage,0,0,17.71,Aberdeen City,NHS Grampian
2011,S12000033,65-74 years,Male,Cerebrovascular Disease,0,0,240.45,Aberdeen City,NHS Grampian
2011,S12000033,65-74 years,Male,Stroke,0,0,134.68,Aberdeen City,NHS Grampian
2011,S12000033,65-74 years,Male,Subarachnoid Haemorrhage,0,0,12.6,Aberdeen City,NHS Grampian
2011,S12000033,65-74 years,Female,Cerebrovascular Disease,0,0,79.41,Aberdeen City,NHS Grampian
2011,S12000033,65-74 years,Female,Stroke,0,0,56.6,Aberdeen City,NHS Grampian
2011,S12000033,65-74 years,Female,Subarachnoid Haemorrhage,0,0,22.81,Aberdeen City,NHS Grampian
2011,S12000033,under75 years,All,Cerebrovascular Disease,0,0,25.8,Aberdeen City,NHS Grampian
2011,S12000033,under75 years,All,Stroke,0,0,15.28,Aberdeen City,NHS Grampian
2011,S12000033,under75 years,All,Subarachnoid Haemorrhage,0,0,4.04,Aberdeen City,NHS Grampian
2011,S12000033,under75 years,Male,Cerebrovascular Disease,0,0,35.97,Aberdeen City,NHS Grampian
2011,S12000033,under75 years,Male,Stroke,0,0,21.89,Aberdeen City,NHS Grampian
2011,S12000033,under75 years,Male,Subarachnoid Haemorrhage,0,0,3.32,Aberdeen City,NHS Grampian
2011,S12000033,under75 years,Female,Cerebrovascular Disease,0,0,15.64,Aberdeen City,NHS Grampian
2011,S12000033,under75 years,Female,Stroke,0,0,8.66,Aberdeen City,NHS Grampian
2011,S12000033,under75 years,Female,Subarachnoid Haemorrhage,0,0,4.76,Aberdeen City,NHS Grampian
