year,hbr,admission_type,age_group,sex,diagnosis,number_of_discharges,crude_rate,easr,hb_name
2011,S08000019,All,All,Male,Subarachnoid Haemorrhage,23,15.89056239,17.88496871,Forth Valley
2011,S08000019,All,All,Male,TIAs and related syndromes,129,89.12532817,104.9681441,Forth Valley
2011,S08000019,All,All,Female,Cerebrovascular Disease,820,534.7593583,550.4244417,Forth Valley
2011,S08000019,All,All,Female,Stroke,410,267.3796791,274.7128402,Forth Valley
2011,S08000019,All,All,Female,Subarachnoid Haemorrhage,60,39.12873353,40.1050668,Forth Valley
2011,S08000019,All,All,Female,TIAs and related syndromes,140,91.30037824,95.2079754,Forth Valley
2011,S08000019,All,0-44 years,All,Cerebrovascular Disease,91,54.84570878,54.80989733,Forth Valley
2011,S08000019,All,0-44 years,All,Stroke,37,22.29990357,22.03906667,Forth Valley
2011,S08000019,All,0-44 years,All,Subarachnoid Haemorrhage,21,12.65670203,13.29360098,Forth Valley
2011,S08000019,All,0-44 years,All,TIAs and related syndromes,18,10.84860174,10.64091258,Forth Valley
2011,S08000019,All,0-44 years,Male,Cerebrovascular Disease,47,56.97591252,58.96603725,Forth Valley
2011,S08000019,All,0-44 years,Male,Stroke,16,19.39605533,19.63655335,Forth Valley
2011,S08000019,All,0-44 years,Male,Subarachnoid Haemorrhage,12,14.5470415,16.61542634,Forth Valley
2011,S08000019,All,0-44 years,Male,TIAs and related syndromes,13,15.75929495,15.32662853,Forth Valley
2011,S08000019,All,0-44 years,Female,Cerebrovascular Disease,44,52.73945511,50.6537574,Forth Valley
2011,S08000019,All,0-44 years,Female,Stroke,21,25.17110357,24.44158,Forth Valley
2011,S08000019,All,0-44 years,Female,Subarachnoid Haemorrhage,9,10.78761582,9.971775624,Forth Valley
2011,S08000019,All,0-44 years,Female,TIAs and related syndromes,5,5.993119898,5.955196636,Forth Valley
2011,S08000019,All,45-64 years,All,Cerebrovascular Disease,338,408.6419305,412.1807071,Forth Valley
2011,S08000019,All,45-64 years,All,Stroke,158,191.0219675,190.3913076,Forth Valley
2011,S08000019,All,45-64 years,All,Subarachnoid Haemorrhage,26,31.43399466,31.87923175,Forth Valley
2011,S08000019,All,45-64 years,All,TIAs and related syndromes,76,91.88398438,93.79490479,Forth Valley
2011,S08000019,All,45-64 years,Male,Cerebrovascular Disease,150,369.2580375,372.0683206,Forth Valley
2011,S08000019,All,45-64 years,Male,Stroke,77,189.5524593,189.3089747,Forth Valley
2011,S08000019,All,45-64 years,Male,Subarachnoid Haemorrhage,4,9.846881,10.02660632,Forth Valley
2011,S08000019,All,45-64 years,Male,TIAs and related syndromes,38,93.5453695,94.45595529,Forth Valley
2011,S08000019,All,45-64 years,Female,Cerebrovascular Disease,188,446.6513031,452.2930936,Forth Valley
2011,S08000019,All,45-64 years,Female,Stroke,81,192.4401891,191.4736404,Forth Valley
2011,S08000019,All,45-64 years,Female,Subarachnoid Haemorrhage,22,52.26770569,53.73185718,Forth Valley
2011,S08000019,All,45-64 years,Female,TIAs and related syndromes,38,90.28058255,93.13385428,Forth Valley
2011,S08000019,All,65-74 years,All,Cerebrovascular Disease,342,1235.906331,1264.112838,Forth Valley
2011,S08000019,All,65-74 years,All,Stroke,172,621.5669269,640.6885843,Forth Valley
2011,S08000019,All,65-74 years,All,Subarachnoid Haemorrhage,28,101.1853137,95.50980705,Forth Valley
2011,S08000019,All,65-74 years,All,TIAs and related syndromes,65,234.8944782,239.5830575,Forth Valley
2011,S08000019,All,65-74 years,Male,Cerebrovascular Disease,194,1499.458958,1517.314625,Forth Valley
2011,S08000019,All,65-74 years,Male,Stroke,103,796.1044984,809.3743511,Forth Valley
2011,S08000019,All,65-74 years,Male,Subarachnoid Haemorrhage,2,15.45833977,14.56847514,Forth Valley
2011,S08000019,All,65-74 years,Male,TIAs and related syndromes,41,316.8959654,316.6836025,Forth Valley
2011,S08000019,All,65-74 years,Female,Cerebrovascular Disease,148,1004.479435,1010.91105,Forth Valley
2011,S08000019,All,65-74 years,Female,Stroke,69,468.3046016,472.0028175,Forth Valley
2011,S08000019,All,65-74 years,Female,Subarachnoid Haemorrhage,26,176.4626035,176.4511389,Forth Valley
2011,S08000019,All,65-74 years,Female,TIAs and related syndromes,24,162.8885571,162.4825125,Forth Valley
2011,S08000019,All,under75 years,All,Cerebrovascular Disease,771,279.0394673,298.4143735,Forth Valley
2011,S08000019,All,under75 years,All,Stroke,367,132.8242341,142.4473559,Forth Valley
2011,S08000019,All,under75 years,All,Subarachnoid Haemorrhage,75,27.14391705,28.19238537,Forth Valley
2011,S08000019,All,under75 years,All,TIAs and related syndromes,159,57.54510414,61.27248747,Forth Valley
2011,S08000019,All,under75 years,Male,Cerebrovascular Disease,391,287.3922279,318.4151656,Forth Valley
2011,S08000019,All,under75 years,Male,Stroke,196,144.0636232,160.17024610000001,Forth Valley
2011,S08000019,All,under75 years,Male,Subarachnoid Haemorrhage,18,13.23033274,14.46051735,Forth Valley
2011,S08000019,All,under75 years,Male,TIAs and related syndromes,92,67.62170069,73.14174266,Forth Valley
2011,S08000019,All,under75 years,Female,Cerebrovascular Disease,380,270.9370143,278.4135814,Forth Valley
2011,S08000019,All,under75 years,Female,Stroke,171,121.9216564,124.7244657,Forth Valley
2011,S08000019,All,under75 years,Female,Subarachnoid Haemorrhage,57,40.64055214,41.92425338,Forth Valley
2011,S08000019,All,under75 years,Female,TIAs and related syndromes,67,47.77047357,49.40323228,Forth Valley
2011,S08000019,All,75plus years,All,Cerebrovascular Disease,769,3531.572905,3663.038972,Forth Valley
2011,S08000019,All,75plus years,All,Stroke,420,1928.817451,1986.454357,Forth Valley
2011,S08000019,All,75plus years,All,Subarachnoid Haemorrhage,8,36.73938002,37.110523,Forth Valley
2011,S08000019,All,75plus years,All,TIAs and related syndromes,110,505.1664753,492.5566239,Forth Valley
2011,S08000019,All,75plus years,Male,Cerebrovascular Disease,329,3786.396593,4025.32147,Forth Valley
2011,S08000019,All,75plus years,Male,Stroke,181,2083.093567,2181.646754,Forth Valley
2011,S08000019,All,75plus years,Male,Subarachnoid Haemorrhage,5,57.54402118,52.5099769,Forth Valley
2011,S08000019,All,75plus years,Male,TIAs and related syndromes,37,425.8257567,426.7684254,Forth Valley
2011,S08000019,All,75plus years,Female,Cerebrovascular Disease,440,3362.372001,3300.756474,Forth Valley
2011,S08000019,All,75plus years,Female,Stroke,239,1826.379337,1791.26196,Forth Valley
2011,S08000019,All,75plus years,Female,Subarachnoid Haemorrhage,3,22.92526364,21.71106911,Forth Valley
2011,S08000019,All,75plus years,Female,TIAs and related syndromes,73,557.8480819,558.3448225,Forth Valley
2011,S08000019,Elective,All,All,Cerebrovascular Disease,45,15.09661836,16.10986686,Forth Valley
2011,S08000019,Elective,All,All,Stroke,2,0.670960816,0.733150592,Forth Valley
2011,S08000019,Elective,All,All,Subarachnoid Haemorrhage,3,1.006441224,0.965087354,Forth Valley
2011,S08000019,Elective,All,All,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,All,Male,Cerebrovascular Disease,17,11.74519829,13.39243259,Forth Valley
2011,S08000019,Elective,All,Male,Stroke,1,0.690894017,0.731817158,Forth Valley
2011,S08000019,Elective,All,Male,Subarachnoid Haemorrhage,1,0.690894017,0.741211351,Forth Valley
2011,S08000019,Elective,All,Male,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,All,Female,Cerebrovascular Disease,28,18.26007565,18.82730112,Forth Valley
2011,S08000019,Elective,All,Female,Stroke,1,0.652145559,0.734484025,Forth Valley
2011,S08000019,Elective,All,Female,Subarachnoid Haemorrhage,2,1.304291118,1.188963357,Forth Valley
2011,S08000019,Elective,All,Female,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,0-44 years,All,Cerebrovascular Disease,6,3.616200579,3.683093446,Forth Valley
2011,S08000019,Elective,0-44 years,All,Stroke,0,0,0,Forth Valley
2011,S08000019,Elective,0-44 years,All,Subarachnoid Haemorrhage,2,1.205400193,1.22755787,Forth Valley
2011,S08000019,Elective,0-44 years,All,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,0-44 years,Male,Cerebrovascular Disease,2,2.424506916,2.493492382,Forth Valley
2011,S08000019,Elective,0-44 years,Male,Stroke,0,0,0,Forth Valley
2011,S08000019,Elective,0-44 years,Male,Subarachnoid Haemorrhage,1,1.212253458,1.372613613,Forth Valley
2011,S08000019,Elective,0-44 years,Male,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,0-44 years,Female,Cerebrovascular Disease,4,4.794495919,4.87269451,Forth Valley
2011,S08000019,Elective,0-44 years,Female,Stroke,0,0,0,Forth Valley
2011,S08000019,Elective,0-44 years,Female,Subarachnoid Haemorrhage,1,1.19862398,1.082502126,Forth Valley
2011,S08000019,Elective,0-44 years,Female,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,45-64 years,All,Cerebrovascular Disease,21,25.38899568,25.87439267,Forth Valley
2011,S08000019,Elective,45-64 years,All,Stroke,1,1.208999794,1.380787091,Forth Valley
2011,S08000019,Elective,45-64 years,All,Subarachnoid Haemorrhage,1,1.208999794,1.140400395,Forth Valley
2011,S08000019,Elective,45-64 years,All,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,45-64 years,Male,Cerebrovascular Disease,6,14.7703215,14.92633326,Forth Valley
2011,S08000019,Elective,45-64 years,Male,Stroke,1,2.46172025,2.761574182,Forth Valley
2011,S08000019,Elective,45-64 years,Male,Subarachnoid Haemorrhage,0,0,0,Forth Valley
2011,S08000019,Elective,45-64 years,Male,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,45-64 years,Female,Cerebrovascular Disease,15,35.63707206,36.82245208,Forth Valley
2011,S08000019,Elective,45-64 years,Female,Stroke,0,0,0,Forth Valley
2011,S08000019,Elective,45-64 years,Female,Subarachnoid Haemorrhage,1,2.375804804,2.280800789,Forth Valley
2011,S08000019,Elective,45-64 years,Female,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,65-74 years,All,Cerebrovascular Disease,11,39.75137323,40.94959915,Forth Valley
2011,S08000019,Elective,65-74 years,All,Stroke,0,0,0,Forth Valley
2011,S08000019,Elective,65-74 years,All,Subarachnoid Haemorrhage,0,0,0,Forth Valley
2011,S08000019,Elective,65-74 years,All,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,65-74 years,Male,Cerebrovascular Disease,6,46.37501932,47.71206145,Forth Valley
2011,S08000019,Elective,65-74 years,Male,Stroke,0,0,0,Forth Valley
2011,S08000019,Elective,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,Forth Valley
2011,S08000019,Elective,65-74 years,Male,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,65-74 years,Female,Cerebrovascular Disease,5,33.93511606,34.18713686,Forth Valley
2011,S08000019,Elective,65-74 years,Female,Stroke,0,0,0,Forth Valley
2011,S08000019,Elective,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,Forth Valley
2011,S08000019,Elective,65-74 years,Female,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,under75 years,All,Cerebrovascular Disease,38,13.75291797,14.4453763,Forth Valley
2011,S08000019,Elective,under75 years,All,Stroke,1,0.361918894,0.40209734,Forth Valley
2011,S08000019,Elective,under75 years,All,Subarachnoid Haemorrhage,3,1.085756682,1.060535554,Forth Valley
2011,S08000019,Elective,under75 years,All,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,under75 years,Male,Cerebrovascular Disease,14,10.2902588,11.33157214,Forth Valley
2011,S08000019,Elective,under75 years,Male,Stroke,1,0.735018486,0.804194679,Forth Valley
2011,S08000019,Elective,under75 years,Male,Subarachnoid Haemorrhage,1,0.735018486,0.814517968,Forth Valley
2011,S08000019,Elective,under75 years,Male,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,under75 years,Female,Cerebrovascular Disease,24,17.11181143,17.55918045,Forth Valley
2011,S08000019,Elective,under75 years,Female,Stroke,0,0,0,Forth Valley
2011,S08000019,Elective,under75 years,Female,Subarachnoid Haemorrhage,2,1.425984286,1.30655314,Forth Valley
2011,S08000019,Elective,under75 years,Female,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,75plus years,All,Cerebrovascular Disease,7,32.14695752,32.93971588,Forth Valley
2011,S08000019,Elective,75plus years,All,Stroke,1,4.592422503,4.080466805,Forth Valley
2011,S08000019,Elective,75plus years,All,Subarachnoid Haemorrhage,0,0,0,Forth Valley
2011,S08000019,Elective,75plus years,All,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,75plus years,Male,Cerebrovascular Disease,3,34.52641271,34.23002159,Forth Valley
2011,S08000019,Elective,75plus years,Male,Stroke,0,0,0,Forth Valley
2011,S08000019,Elective,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,Forth Valley
2011,S08000019,Elective,75plus years,Male,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Elective,75plus years,Female,Cerebrovascular Disease,4,30.56701819,31.64941017,Forth Valley
2011,S08000019,Elective,75plus years,Female,Stroke,1,7.641754547,8.160933611,Forth Valley
2011,S08000019,Elective,75plus years,Female,Subarachnoid Haemorrhage,0,0,0,Forth Valley
2011,S08000019,Elective,75plus years,Female,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Emergency,All,All,Cerebrovascular Disease,742,248.9264627,288.1627267,Forth Valley
2011,S08000019,Emergency,All,All,Stroke,365,122.4503489,142.3130374,Forth Valley
2011,S08000019,Emergency,All,All,Subarachnoid Haemorrhage,26,8.722490607,9.10675067,Forth Valley
2011,S08000019,Emergency,All,All,TIAs and related syndromes,206,69.10896404,76.62993253,Forth Valley
2011,S08000019,Emergency,All,Male,Cerebrovascular Disease,350,241.8129059,312.7717951,Forth Valley
2011,S08000019,Emergency,All,Male,Stroke,175,120.906453,156.9268054,Forth Valley
2011,S08000019,Emergency,All,Male,Subarachnoid Haemorrhage,7,4.836258118,5.49208349,Forth Valley
2011,S08000019,Emergency,All,Male,TIAs and related syndromes,98,67.70761365,80.03121316,Forth Valley
2011,S08000019,Emergency,All,Female,Cerebrovascular Disease,392,255.6410591,263.5536582,Forth Valley
2011,S08000019,Emergency,All,Female,Stroke,190,123.9076562,127.6992695,Forth Valley
2011,S08000019,Emergency,All,Female,Subarachnoid Haemorrhage,19,12.39076562,12.72141785,Forth Valley
2011,S08000019,Emergency,All,Female,TIAs and related syndromes,108,70.43172036,73.22865191,Forth Valley
2011,S08000019,Emergency,0-44 years,All,Cerebrovascular Disease,42,25.31340405,24.89316624,Forth Valley
2011,S08000019,Emergency,0-44 years,All,Stroke,18,10.84860174,10.81674356,Forth Valley
2011,S08000019,Emergency,0-44 years,All,Subarachnoid Haemorrhage,6,3.616200579,3.618942485,Forth Valley
2011,S08000019,Emergency,0-44 years,All,TIAs and related syndromes,14,8.43780135,8.273287622,Forth Valley
2011,S08000019,Emergency,0-44 years,Male,Cerebrovascular Disease,20,24.24506916,24.32378227,Forth Valley
2011,S08000019,Emergency,0-44 years,Male,Stroke,8,9.698027664,9.818276675,Forth Valley
2011,S08000019,Emergency,0-44 years,Male,Subarachnoid Haemorrhage,2,2.424506916,2.793248222,Forth Valley
2011,S08000019,Emergency,0-44 years,Male,TIAs and related syndromes,9,10.91028112,10.59137861,Forth Valley
2011,S08000019,Emergency,0-44 years,Female,Cerebrovascular Disease,22,26.36972755,25.4625502,Forth Valley
2011,S08000019,Emergency,0-44 years,Female,Stroke,10,11.9862398,11.81521044,Forth Valley
2011,S08000019,Emergency,0-44 years,Female,Subarachnoid Haemorrhage,4,4.794495919,4.444636749,Forth Valley
2011,S08000019,Emergency,0-44 years,Female,TIAs and related syndromes,5,5.993119898,5.955196636,Forth Valley
2011,S08000019,Emergency,45-64 years,All,Cerebrovascular Disease,168,203.1119655,205.2264071,Forth Valley
2011,S08000019,Emergency,45-64 years,All,Stroke,76,91.88398438,91.60956994,Forth Valley
2011,S08000019,Emergency,45-64 years,All,Subarachnoid Haemorrhage,7,8.462998561,8.666049543,Forth Valley
2011,S08000019,Emergency,45-64 years,All,TIAs and related syndromes,64,77.37598685,78.94463762,Forth Valley
2011,S08000019,Emergency,45-64 years,Male,Cerebrovascular Disease,83,204.3227808,205.7307307,Forth Valley
2011,S08000019,Emergency,45-64 years,Male,Stroke,40,98.46881,98.2276154,Forth Valley
2011,S08000019,Emergency,45-64 years,Male,Subarachnoid Haemorrhage,2,4.9234405,5.013303158,Forth Valley
2011,S08000019,Emergency,45-64 years,Male,TIAs and related syndromes,33,81.23676825,82.04033054,Forth Valley
2011,S08000019,Emergency,45-64 years,Female,Cerebrovascular Disease,85,201.9434083,204.7220835,Forth Valley
2011,S08000019,Emergency,45-64 years,Female,Stroke,36,85.52897294,84.99152448,Forth Valley
2011,S08000019,Emergency,45-64 years,Female,Subarachnoid Haemorrhage,5,11.87902402,12.31879593,Forth Valley
2011,S08000019,Emergency,45-64 years,Female,TIAs and related syndromes,31,73.64994892,75.8489447,Forth Valley
2011,S08000019,Emergency,65-74 years,All,Cerebrovascular Disease,171,617.9531657,633.5589074,Forth Valley
2011,S08000019,Emergency,65-74 years,All,Stroke,82,296.3284186,304.7241732,Forth Valley
2011,S08000019,Emergency,65-74 years,All,Subarachnoid Haemorrhage,9,32.52385082,30.84494242,Forth Valley
2011,S08000019,Emergency,65-74 years,All,TIAs and related syndromes,51,184.3018213,187.5744377,Forth Valley
2011,S08000019,Emergency,65-74 years,Male,Cerebrovascular Disease,97,749.7294791,761.6622897,Forth Valley
2011,S08000019,Emergency,65-74 years,Male,Stroke,47,363.2709847,369.403959,Forth Valley
2011,S08000019,Emergency,65-74 years,Male,Subarachnoid Haemorrhage,1,7.729169887,7.284237572,Forth Valley
2011,S08000019,Emergency,65-74 years,Male,TIAs and related syndromes,29,224.1459267,226.2677746,Forth Valley
2011,S08000019,Emergency,65-74 years,Female,Cerebrovascular Disease,74,502.23971770000003,505.4555251,Forth Valley
2011,S08000019,Emergency,65-74 years,Female,Stroke,35,237.5458124,240.0443873,Forth Valley
2011,S08000019,Emergency,65-74 years,Female,Subarachnoid Haemorrhage,8,54.29618569,54.40564726,Forth Valley
2011,S08000019,Emergency,65-74 years,Female,TIAs and related syndromes,22,149.3145107,148.8811007,Forth Valley
2011,S08000019,Emergency,under75 years,All,Cerebrovascular Disease,381,137.8910986,147.6384538,Forth Valley
2011,S08000019,Emergency,under75 years,All,Stroke,176,63.69772534,68.25672059,Forth Valley
2011,S08000019,Emergency,under75 years,All,Subarachnoid Haemorrhage,22,7.962215667,8.230165961,Forth Valley
2011,S08000019,Emergency,under75 years,All,TIAs and related syndromes,129,46.68753732,49.54200026,Forth Valley
2011,S08000019,Emergency,under75 years,Male,Cerebrovascular Disease,200,147.0036971,162.2286005,Forth Valley
2011,S08000019,Emergency,under75 years,Male,Stroke,95,69.82675614,77.05450899,Forth Valley
2011,S08000019,Emergency,under75 years,Male,Subarachnoid Haemorrhage,5,3.675092429,3.957938815,Forth Valley
2011,S08000019,Emergency,under75 years,Male,TIAs and related syndromes,71,52.18631249,56.28367954,Forth Valley
2011,S08000019,Emergency,under75 years,Female,Cerebrovascular Disease,181,129.0515779,133.048307,Forth Valley
2011,S08000019,Emergency,under75 years,Female,Stroke,81,57.75236357,59.45893219,Forth Valley
2011,S08000019,Emergency,under75 years,Female,Subarachnoid Haemorrhage,17,12.12086643,12.50239311,Forth Valley
2011,S08000019,Emergency,under75 years,Female,TIAs and related syndromes,58,41.35354428,42.80032099,Forth Valley
2011,S08000019,Emergency,75plus years,All,Cerebrovascular Disease,361,1657.864524,1709.019264,Forth Valley
2011,S08000019,Emergency,75plus years,All,Stroke,189,867.967853,891.1046857,Forth Valley
2011,S08000019,Emergency,75plus years,All,Subarachnoid Haemorrhage,4,18.36969001,17.96999606,Forth Valley
2011,S08000019,Emergency,75plus years,All,TIAs and related syndromes,77,353.6165327,350.5190255,Forth Valley
2011,S08000019,Emergency,75plus years,Male,Cerebrovascular Disease,150,1726.320635,1834.930763,Forth Valley
2011,S08000019,Emergency,75plus years,Male,Stroke,80,920.7043388,964.5244692,Forth Valley
2011,S08000019,Emergency,75plus years,Male,Subarachnoid Haemorrhage,2,23.01760847,21.00399076,Forth Valley
2011,S08000019,Emergency,75plus years,Male,TIAs and related syndromes,27,310.7377144,320.1451642,Forth Valley
2011,S08000019,Emergency,75plus years,Female,Cerebrovascular Disease,211,1612.410209,1583.107765,Forth Valley
2011,S08000019,Emergency,75plus years,Female,Stroke,109,832.9512456,817.6849021,Forth Valley
2011,S08000019,Emergency,75plus years,Female,Subarachnoid Haemorrhage,2,15.28350909,14.93600136,Forth Valley
2011,S08000019,Emergency,75plus years,Female,TIAs and related syndromes,50,382.0877273,380.8928867,Forth Valley
2011,S08000019,Transfer,All,All,Cerebrovascular Disease,753,252.6167472,296.9579939,Forth Valley
2011,S08000019,Transfer,All,All,Stroke,420,140.9017713,165.361798,Forth Valley
2011,S08000019,Transfer,All,All,Subarachnoid Haemorrhage,54,18.11594203,18.92317973,Forth Valley
2011,S08000019,Transfer,All,All,TIAs and related syndromes,63,21.1352657,23.45812722,Forth Valley
2011,S08000019,Transfer,All,Male,Cerebrovascular Disease,353,243.885588,325.8725053,Forth Valley
2011,S08000019,Transfer,All,Male,Stroke,201,138.8696974,184.4445093,Forth Valley
2011,S08000019,Transfer,All,Male,Subarachnoid Haemorrhage,15,10.36341025,11.65167387,Forth Valley
2011,S08000019,Transfer,All,Male,TIAs and related syndromes,31,21.41771452,24.93693094,Forth Valley
2011,S08000019,Transfer,All,Female,Cerebrovascular Disease,400,260.8582236,268.0434824,Forth Valley
2011,S08000019,Transfer,All,Female,Stroke,219,142.8198774,146.2790866,Forth Valley
2011,S08000019,Transfer,All,Female,Subarachnoid Haemorrhage,39,25.4336768,26.19468559,Forth Valley
2011,S08000019,Transfer,All,Female,TIAs and related syndromes,32,20.86865788,21.9793235,Forth Valley
2011,S08000019,Transfer,0-44 years,All,Cerebrovascular Disease,43,25.91610415,26.23363764,Forth Valley
2011,S08000019,Transfer,0-44 years,All,Stroke,19,11.45130183,11.22232312,Forth Valley
2011,S08000019,Transfer,0-44 years,All,Subarachnoid Haemorrhage,13,7.835101254,8.447100629,Forth Valley
2011,S08000019,Transfer,0-44 years,All,TIAs and related syndromes,4,2.410800386,2.36762496,Forth Valley
2011,S08000019,Transfer,0-44 years,Male,Cerebrovascular Disease,25,30.30633645,32.1487626,Forth Valley
2011,S08000019,Transfer,0-44 years,Male,Stroke,8,9.698027664,9.818276675,Forth Valley
2011,S08000019,Transfer,0-44 years,Male,Subarachnoid Haemorrhage,9,10.91028112,12.44956451,Forth Valley
2011,S08000019,Transfer,0-44 years,Male,TIAs and related syndromes,4,4.849013832,4.73524992,Forth Valley
2011,S08000019,Transfer,0-44 years,Female,Cerebrovascular Disease,18,21.57523163,20.31851269,Forth Valley
2011,S08000019,Transfer,0-44 years,Female,Stroke,11,13.18486378,12.62636956,Forth Valley
2011,S08000019,Transfer,0-44 years,Female,Subarachnoid Haemorrhage,4,4.794495919,4.444636749,Forth Valley
2011,S08000019,Transfer,0-44 years,Female,TIAs and related syndromes,0,0,0,Forth Valley
2011,S08000019,Transfer,45-64 years,All,Cerebrovascular Disease,149,180.1409694,181.0799073,Forth Valley
2011,S08000019,Transfer,45-64 years,All,Stroke,81,97.92898335,97.40095052,Forth Valley
2011,S08000019,Transfer,45-64 years,All,Subarachnoid Haemorrhage,18,21.7619963,22.07278181,Forth Valley
2011,S08000019,Transfer,45-64 years,All,TIAs and related syndromes,12,14.50799753,14.85026716,Forth Valley
2011,S08000019,Transfer,45-64 years,Male,Cerebrovascular Disease,61,150.1649353,151.4112566,Forth Valley
2011,S08000019,Transfer,45-64 years,Male,Stroke,36,88.621929,88.3197851,Forth Valley
2011,S08000019,Transfer,45-64 years,Male,Subarachnoid Haemorrhage,2,4.9234405,5.013303158,Forth Valley
2011,S08000019,Transfer,45-64 years,Male,TIAs and related syndromes,5,12.30860125,12.41562475,Forth Valley
2011,S08000019,Transfer,45-64 years,Female,Cerebrovascular Disease,88,209.0708227,210.7485581,Forth Valley
2011,S08000019,Transfer,45-64 years,Female,Stroke,45,106.9112162,106.4821159,Forth Valley
2011,S08000019,Transfer,45-64 years,Female,Subarachnoid Haemorrhage,16,38.01287686,39.13226047,Forth Valley
2011,S08000019,Transfer,45-64 years,Female,TIAs and related syndromes,7,16.63063363,17.28490958,Forth Valley
2011,S08000019,Transfer,65-74 years,All,Cerebrovascular Disease,160,578.2017924,589.6043312,Forth Valley
2011,S08000019,Transfer,65-74 years,All,Stroke,90,325.2385082,335.9644112,Forth Valley
2011,S08000019,Transfer,65-74 years,All,Subarachnoid Haemorrhage,19,68.66146285,64.66486463,Forth Valley
2011,S08000019,Transfer,65-74 years,All,TIAs and related syndromes,14,50.59265684,52.00861985,Forth Valley
2011,S08000019,Transfer,65-74 years,Male,Cerebrovascular Disease,91,703.3544597,707.9402742,Forth Valley
2011,S08000019,Transfer,65-74 years,Male,Stroke,56,432.8335137,439.9703921,Forth Valley
2011,S08000019,Transfer,65-74 years,Male,Subarachnoid Haemorrhage,1,7.729169887,7.284237572,Forth Valley
2011,S08000019,Transfer,65-74 years,Male,TIAs and related syndromes,12,92.75003865,90.41582788,Forth Valley
2011,S08000019,Transfer,65-74 years,Female,Cerebrovascular Disease,69,468.3046016,471.2683882,Forth Valley
2011,S08000019,Transfer,65-74 years,Female,Stroke,34,230.7587892,231.9584302,Forth Valley
2011,S08000019,Transfer,65-74 years,Female,Subarachnoid Haemorrhage,18,122.1664178,122.0454917,Forth Valley
2011,S08000019,Transfer,65-74 years,Female,TIAs and related syndromes,2,13.57404642,13.60141182,Forth Valley
2011,S08000019,Transfer,under75 years,All,Cerebrovascular Disease,352,127.3954507,136.3305435,Forth Valley
2011,S08000019,Transfer,under75 years,All,Stroke,190,68.76458986,73.78853796,Forth Valley
2011,S08000019,Transfer,under75 years,All,Subarachnoid Haemorrhage,50,18.0959447,18.90168385,Forth Valley
2011,S08000019,Transfer,under75 years,All,TIAs and related syndromes,30,10.85756682,11.73048721,Forth Valley
2011,S08000019,Transfer,under75 years,Male,Cerebrovascular Disease,177,130.098272,144.854993,Forth Valley
2011,S08000019,Transfer,under75 years,Male,Stroke,100,73.50184857,82.31154245,Forth Valley
2011,S08000019,Transfer,under75 years,Male,Subarachnoid Haemorrhage,12,8.820221829,9.688060568,Forth Valley
2011,S08000019,Transfer,under75 years,Male,TIAs and related syndromes,21,15.4353882,16.85806312,Forth Valley
2011,S08000019,Transfer,under75 years,Female,Cerebrovascular Disease,175,124.773625,127.806094,Forth Valley
2011,S08000019,Transfer,under75 years,Female,Stroke,90,64.16929285,65.26553347,Forth Valley
2011,S08000019,Transfer,under75 years,Female,Subarachnoid Haemorrhage,38,27.09370143,28.11530714,Forth Valley
2011,S08000019,Transfer,under75 years,Female,TIAs and related syndromes,9,6.416929285,6.602911295,Forth Valley
2011,S08000019,Transfer,75plus years,All,Cerebrovascular Disease,401,1841.561424,1921.079992,Forth Valley
2011,S08000019,Transfer,75plus years,All,Stroke,230,1056.257176,1091.269205,Forth Valley
2011,S08000019,Transfer,75plus years,All,Subarachnoid Haemorrhage,4,18.36969001,19.14052694,Forth Valley
2011,S08000019,Transfer,75plus years,All,TIAs and related syndromes,33,151.5499426,142.0375984,Forth Valley
2011,S08000019,Transfer,75plus years,Male,Cerebrovascular Disease,176,2025.549545,2156.160686,Forth Valley
2011,S08000019,Transfer,75plus years,Male,Stroke,101,1162.389228,1217.122285,Forth Valley
